User_ID,Username,Email,Password_Cleartext,Password_Hash_SHA256,Salt,AWS_Access_Key_ID,AWS_Secret_Access_Key,Google_API_Key,Slack_Bot_Token,SSH_Private_Key_Snippet,DB_Connection_String,Last_Login_IP,Account_Status
93019,alexander79,alexander79@yahoo.com,LOUJ6do^_sX8,3dac4e46da58d518377a8f9f66eef151505928c62cc920c1c382d9c07c9a5193,nw07hZITavx03Sc4,AKIAMI4REZM96GXV2YJA,/a+ZdRqql07iGTNMH9VTRkYUgsZf4Ly6EKWlCOQP,AIzaDx0ZTLpYXeVIQIY_94n4fcOjLdawl55d7Fd,xoxb-7111344469-7684156522-VcY7OjGeqAdFoazJBMHVhzQI,-----BEGIN RSA PRIVATE KEY----- rqS3DrWU3YH9+jsJN8XsPqGCze3I8W/jZTwfRzAwtvpgRQDl+d...,mongodb://alexander79:LOUJ6do^_sX8@db-prod.internal:1433/production_db,102.253.253.33,Active
60220,christina53,christina53@yahoo.com,((Q1ZdEl!@1r,bd1945f0d34f48e75849ed4515ac0229650699b7c6251d7ec826c20b11bd6890,XOErPcx93t6QOwUN,AKIACVI0AZGWDWN3XCD7,4cVAzgZ/ZmAzCIFHrh1/JoCsp/rpLZeYIrZ3S94+,AIzaNk3oGz9LWGnJTO1DnQtfp60PAf-043omAYC,xoxb-1378418985-1004066731-Iw9r3BAbYWDczGiIjYZ9VzWK,-----BEGIN RSA PRIVATE KEY----- /Oe1elICeH4ZLHKhqRxDqyGm9LWkzMDiR5FXOHrOu/HtpE1rZe...,jdbc:sqlserver://christina53:((Q1ZdEl!@1r@db-prod.internal:3306/production_db,39.70.21.152,Compromised
87579,angela62,angela62@yahoo.com,YuC4SZNQy^oF,c928d0e38776b685408682f572556245e2de8d75063fed5052ef2bd4db1744ba,aAuQhB9zz456sCuq,AKIAIHTDUEPIXM3STZWI,kgwHv8OLXEW4UgQjuoC8fH+AUzfPUM/frJplRdeH,AIzaVLBnCetITXdGY2zeB5dW62wG2XJpagjLA17,xoxb-6797922019-5959401570-u9yKX2IykIRLRWubHZWt6pVp,-----BEGIN RSA PRIVATE KEY----- YvBxXA4HE7sONJIOc8IJrxLrxs0DQASQKOOyAsNyJwLm8eJPy/...,postgresql://angela62:YuC4SZNQy^oF@db-prod.internal:1433/production_db,134.69.2.100,Compromised
29756,megan61,megan61@hotmail.com,#)2MaoKk$GFX,e91dd735366ced66738055b4d758f097b825dad0b62d0d96a1bb2df00fe612ae,pNY17l5jJsSrJhJV,AKIATMMMGX9ROQK8WAWV,Si5uek/95P14rZEVj1wxzf2aED1T7SpRlRUEcwoC,AIza6JEa7jcJ7sOovIxesKfMCoNCjDMBVQ9IyNp,xoxb-1813801041-2048711899-QeCNSOfnJROq0yyRHoMMm38T,-----BEGIN RSA PRIVATE KEY----- 2jb+MP9ZdkWMT1qQfo1kbCjLa5PJNkhWUC2PMb3xZVxfXiXPSG...,mysql://megan61:#)2MaoKk$GFX@db-prod.internal:27017/production_db,208.117.218.79,Locked
53451,bryan61,bryan61@yahoo.com,)Hp9W#znGzbI,eb59ad34a34fac5d0a3a3831c53e4f85600781619d85a7a55f7263871ff742d1,HIHTEvL7eTcmNSlB,AKIA4AAYJ9DUUX51XXMJ,ICfjyXjZ5RyENK4S7WPfrXJEuhKVcQecqRUt7/zT,AIzaBsZStw1zbCgapgXekpfnhL819sTDoRsPJj6,xoxb-1759632006-5187948324-Mm3e9OmeI6vfePBIlezr84Fj,-----BEGIN RSA PRIVATE KEY----- TlCwbIcgGDK5Wga/frm841LJocnxQdPZR24kpk+2u3sZ1pnaeC...,mysql://bryan61:)Hp9W#znGzbI@192.168.1.50:27017/production_db,103.208.93.185,Active
75124,jeremiah95,jeremiah95@yahoo.com,+iRcFzl#%0RG,bbb0fa994b320c5fe7159da802396872db2ed81d766582da6dea0bf03691037a,iQtTSGwiO6L1LeKh,AKIAMKXD74Z30F5HBVFV,FJfO3jEyUgbPMwPkyw/mMmu73JPtm+pN33XahUSL,AIzaqvVomu6s3vkpsj8U2f76ef6dI86YN9HcW9N,xoxb-1374364654-3456362772-H2OfSY1ivuKmAFFUK1CcaWlW,-----BEGIN RSA PRIVATE KEY----- +UVDOBNATBog7TH98G65btsgI/trPmd3Zh/yonn/LxNCo4Lo9u...,mongodb://jeremiah95:+iRcFzl#%0RG@localhost:5432/production_db,80.232.130.107,Compromised
94611,michele26,michele26@gmail.com,(87EVviquP%K,3c457a9cec608914d9fbf3d72b405d8cccd87dcba8f3aab1e2efc5fba66e5557,DYtcxHppIQbuksdY,AKIA8BSPABC1SXBFWHJK,ppMq1pU0OsOiy0+gMeS1lORyd85cDj3fI/ueS+KK,AIzabr1CjghSdmssOMy1lh9rQgw6CLOQftzY5JS,xoxb-6048017567-9313413063-3sZ7hggSOzHhMdwuxbqjooI5,-----BEGIN RSA PRIVATE KEY----- Jq8dCDOF4ik97Os0oz3MhxCXsZpqoxhMxCt4/9YAZp7v7ZLuHu...,mysql://michele26:(87EVviquP%K@localhost:1433/production_db,1.213.155.120,Locked
65152,casey96,casey96@hotmail.com,e+q6TKxpv)(E,e8a5e911e583bc4bd972b1bd40b78178b69773b9c656b19f8645bbfdd2e38c6f,uGguCvmS2aIQbUeS,AKIAO2L0GR0KKICAIZCO,tT2Hg/HDR6e8ZDgE6+mvMr0j/QvsRXKwz7vML4MI,AIza295hqPSAVWrgBkcIpCQTOCJBSljefg05wd7,xoxb-7310027699-5673848875-WS9nWABVhQH7v5qmpQjzwiiL,-----BEGIN RSA PRIVATE KEY----- 5oASJuVu3kLkcTZC1J3bazheRThWnwsy6zMeN35k2rZFc8PJ3E...,postgresql://casey96:e+q6TKxpv)(E@db-prod.internal:5432/production_db,191.77.179.166,Compromised
51561,hannah81,hannah81@hotmail.com,wRAoh1p%!D6U,3186373b9bc8560e1b82c65791f86192dc4bd0e09b3850b2fbdd5b4f1826c093,T3KL0fbBuqj5rWSv,AKIA59WSJGF89E7NJIA1,UEyGsd+Tp/35ipArDoKfsJmfc/llj04Zjseiiy/U,AIzaJ0BCKhdJSr2mxGi9uZaF1ldLpEXiAx8edvj,xoxb-6922044070-1523504785-vCvmqPLtYyWTlwhU4T8OW9gc,-----BEGIN RSA PRIVATE KEY----- ywX4sQoYloFTZqzZjD7MtyTx56GKVnlARfWXn2nZ30BDLL1SCb...,mongodb://hannah81:wRAoh1p%!D6U@db-prod.internal:3306/production_db,42.233.44.186,Compromised
59013,barbara12,barbara12@hotmail.com,+$G0a0niN9v#,966d346e4bae950cb2fa9db3382ab77fc8457239d160479d8e2dd5b915ddbfc7,uUmR0dG0rVAWaNla,AKIA8BQB61IUE6H0LY1Z,k470sfVih/BHcRbuH6o/hV0ubRs7qAwNYDqRJYAC,AIzax-uTyGCvyscCvmUCZc0Va4qTJoD94-sdWn8,xoxb-4935661358-8250664942-RAsVaj4oKa49IO6mGecg5C22,-----BEGIN RSA PRIVATE KEY----- jSaNo55l2ggpAnSBObQ+gXNF0qDbQCd2O1wqMoric/Lapx7O+f...,mongodb://barbara12:+$G0a0niN9v#@192.168.1.50:3306/production_db,92.161.109.70,Compromised
77127,julie4,julie4@hotmail.com,0FSYE*1g@cl&,32192c61cb184095283341fc77ede54c5a57b448d82501ee0befe528973f25b1,TDcV9rc2dKT2IVo3,AKIA51YKILYG8FTVAW03,9p2ykDPVjKa4afPUnZhw4iefbtsEipQE4BQN6Dhk,AIzaV5lrlK8-QmH5btSgJt254BcnnSoRuEUsn1w,xoxb-2439892768-6913106470-6svgdAEtiVfOlDn0Z37XYelG,-----BEGIN RSA PRIVATE KEY----- cvr9V6Yyumc/I/NE0LMXUs1SbtXt5mqr6RvKo26TQiwg8YA0gA...,mongodb://julie4:0FSYE*1g@cl&@10.0.0.5:1433/production_db,1.67.87.230,Locked
